,s/a,w/c,s/c,a/c,smax/mm,Vf/%,l/d,fc0/MPa,fc/MPa
138,0.667431192660551,0.230179028132992,0.744245524296675,1.1150895140665,19.0,0.5,60.0,90.14,90.76
139,0.667431192660551,0.230179028132992,0.744245524296675,1.1150895140665,19.0,1.0,60.0,90.14,95.01
172,0.65,0.25,1.24,1.91,10.0,0.5,65.0,85.5,87.8
263,1.69,0.42,2.79,1.65,12.5,0.5,80.0,48.5,61.4
168,10.9090909090909,0.217142857142857,1.71428571428571,0.157142857142857,2.5,1.0,50.0,110.9,124.3
86,0.95,0.33,1.69,1.79,20.0,2.6,50.0,39.6,42.54
63,0.56,0.35,1.2,2.13,15.0,3.0,40.0,66.7,58.5
6,0.44,0.38,0.95,2.17,20.0,0.5,55.0,43.01,45.84
141,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,8.0,0.5,60.0,60.0,58.2
190,0.74,0.45,2.28,3.08,10.0,0.5,65.0,52.4,60.7
5,0.49,0.49,1.42,2.9,20.0,1.5,82.0,29.42,34.7
44,0.8,0.38,2.09,2.62,19.0,1.0,65.0,36.4,48.1
260,0.46,0.4,1.24,2.67,25.0,1.0,30.0,47.84,48.62
85,0.95,0.33,1.69,1.79,20.0,2.4,50.0,39.6,43.45
27,0.539823008849557,0.351111111111111,1.35555555555556,2.51111111111111,10.0,0.5,54.5,56.0,57.0
259,0.46,0.4,1.24,2.67,25.0,0.5,30.0,47.84,48.16
167,10.9090909090909,0.217142857142857,1.71428571428571,0.157142857142857,2.5,0.5,50.0,110.9,127.3
107,0.95,0.33,1.69,1.79,20.0,1.14,70.0,39.6,46.33
56,0.64,0.35,1.35,2.12,12.5,1.0,20.0,57.82,69.83
209,0.502415458937198,0.399558498896247,1.37748344370861,2.74172185430464,22.0,0.76,80.0,27.1,31.6
198,0.74,0.45,2.28,3.08,10.0,1.5,80.0,52.4,66.2
100,0.95,0.33,1.69,1.79,20.0,1.33,60.0,39.6,35.97
105,0.95,0.33,1.69,1.79,20.0,2.83,60.0,39.6,46.81
154,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,1.5,30.0,47.53,52.64
50,0.8,0.38,2.09,2.62,19.0,1.0,80.0,56.2,63.7
214,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,0.67,85.0,47.2,47.5
158,0.622535211267606,0.605,1.6575,2.6625,25.0,0.25,67.0,26.4,26.1
191,0.74,0.45,2.28,3.08,10.0,1.0,65.0,52.4,64.1
265,0.67,0.45,2.0,3.0,16.0,0.5,60.0,37.9,38.3
216,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,0.33,80.0,56.8,59.6
227,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,1.0,85.0,71.2,73.0
251,0.47,0.5,1.97,4.19,25.0,0.5,30.0,37.04,37.48
39,0.8,0.38,2.09,2.62,19.0,0.5,65.0,32.4,33.4
