,s/a,w/c,s/c,a/c,smax/mm,Vf/%,l/d,fc0/MPa
165,0.622535211267606,0.4125,1.6575,2.6625,25.0,0.375,67.0,47.9
166,0.622535211267606,0.4125,1.6575,2.6625,25.0,0.5,67.0,47.9
167,10.9090909090909,0.217142857142857,1.71428571428571,0.157142857142857,2.5,0.5,50.0,110.9
168,10.9090909090909,0.217142857142857,1.71428571428571,0.157142857142857,2.5,1.0,50.0,110.9
169,10.9090909090909,0.217142857142857,1.71428571428571,0.157142857142857,2.5,1.5,50.0,110.9
170,10.9090909090909,0.217142857142857,1.71428571428571,0.157142857142857,2.5,2.0,50.0,110.9
171,10.9090909090909,0.217142857142857,1.71428571428571,0.157142857142857,2.5,2.5,50.0,110.9
172,0.65,0.25,1.24,1.91,10.0,0.5,65.0,85.5
173,0.65,0.25,1.24,1.91,10.0,1.0,65.0,85.5
174,0.65,0.25,1.24,1.91,10.0,1.5,65.0,85.5
175,0.65,0.25,1.24,1.91,10.0,0.5,80.0,85.5
176,0.65,0.25,1.24,1.91,10.0,1.0,80.0,85.5
177,0.65,0.25,1.24,1.91,10.0,1.5,80.0,85.5
178,0.65,0.25,1.24,1.91,10.0,0.5,80.0,85.5
179,0.65,0.25,1.24,1.91,10.0,1.0,80.0,85.5
180,0.65,0.25,1.24,1.91,10.0,1.5,80.0,85.5
181,0.68,0.35,1.59,2.34,10.0,0.5,65.0,61.7
182,0.68,0.35,1.59,2.34,10.0,1.0,65.0,61.7
183,0.68,0.35,1.59,2.34,10.0,1.5,65.0,61.7
184,0.68,0.35,1.59,2.34,10.0,0.5,80.0,61.7
185,0.68,0.35,1.59,2.34,10.0,1.0,80.0,61.7
186,0.68,0.35,1.59,2.34,10.0,1.5,80.0,61.7
187,0.68,0.35,1.59,2.34,10.0,0.5,80.0,61.7
188,0.68,0.35,1.59,2.34,10.0,1.0,80.0,61.7
189,0.68,0.35,1.59,2.34,10.0,1.5,80.0,61.7
190,0.74,0.45,2.28,3.08,10.0,0.5,65.0,52.4
191,0.74,0.45,2.28,3.08,10.0,1.0,65.0,52.4
192,0.74,0.45,2.28,3.08,10.0,1.5,65.0,52.4
193,0.74,0.45,2.28,3.08,10.0,0.5,80.0,52.4
